rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,success_count,success_percentage,timeout_count,timeout_percentage,flip_count,flip_percentage
125,230,25.029800000000016,0.22838164385589552,5.630052569096403,11.260105138192806,100.0,20,20.0,100.0,,,,
126,166,24.807300000000033,0.22735019370793214,5.161804972498914,10.323609944997829,100.0,20,20.0,100.0,,,,
127,229,24.497100000000017,0.24876346448264192,5.3050287681629715,10.610057536325943,100.0,20,20.0,100.0,,,,
128,186,24.277499999999996,0.22675781376273144,5.935452339174134,11.870904678348268,80.0,20,16.0,80.0,3.0,15.0,1.0,5.0
129,244,24.11090000000003,0.21710604003249462,5.388813119784791,10.777626239569582,95.0,20,19.0,95.0,1.0,5.0,,
130,160,24.005299999999995,0.26673079708277114,5.631060482050198,11.262120964100395,100.0,20,20.0,100.0,,,,
131,269,23.340500000000002,0.2586253847112802,5.901425147302152,11.802850294604305,100.0,20,20.0,100.0,,,,
132,238,23.031999999999986,0.2647428353546447,5.781060482050197,11.562120964100394,100.0,20,20.0,100.0,,,,
133,117,22.84850000000001,0.2517170186885933,5.995445792364,11.990891584728,95.0,20,19.0,95.0,1.0,5.0,,
134,119,22.361199999999997,0.267508187796206,6.0671796727992735,12.134359345598547,100.0,20,20.0,100.0,,,,
135,173,22.337400000000013,0.2292870442940385,5.219482156090008,10.438964312180016,95.0,20,19.0,95.0,,,1.0,5.0
136,249,21.753899999999998,0.2642576612338046,5.650332765621099,11.300665531242197,100.0,20,20.0,100.0,,,,
137,261,21.560199999999988,0.24088804216834808,5.2657850501079375,10.531570100215875,95.0,20,19.0,95.0,1.0,5.0,,
138,177,21.50740000000002,0.30829437723154063,6.631985462631741,13.263970925263482,95.0,20,19.0,95.0,1.0,5.0,,
139,172,21.435600000000033,0.2607807617464696,5.354709637270391,10.709419274540782,95.0,20,19.0,95.0,1.0,5.0,,
140,234,21.391099999999973,0.2672124043647307,5.374937509758025,10.74987501951605,95.0,20,19.0,95.0,1.0,5.0,,
141,184,21.307000000000038,0.2834145533458977,6.098245689977257,12.196491379954514,100.0,20,20.0,100.0,,,,
142,183,21.249300000000005,0.2547556445712872,5.461854517562456,10.923709035124912,95.0,20,19.0,95.0,1.0,5.0,,
143,218,21.245600000000014,0.2652074279483781,5.588543038503654,11.177086077007308,100.0,20,20.0,100.0,,,,
144,175,21.232200000000024,0.248306170669001,5.788212970968919,11.576425941937838,85.0,20,17.0,85.0,3.0,15.0,,
145,203,21.159599999999987,0.26861191959515496,5.645448504595462,11.290897009190925,100.0,20,20.0,100.0,,,,
146,80,21.000000000000007,0.26850844009484515,5.566384915715903,11.132769831431807,100.0,20,20.0,100.0,,,,
147,213,20.98830000000001,0.2806674771713262,5.283424675674281,10.566849351348562,85.0,20,17.0,85.0,2.0,10.0,1.0,5.0
148,59,20.866600000000016,0.281837282036969,5.720302175009981,11.440604350019962,95.0,20,19.0,95.0,1.0,5.0,,
149,247,20.706400000000016,0.2723468017620757,6.008758120204048,12.017516240408096,90.0,20,18.0,90.0,2.0,10.0,,
150,223,20.556700000000003,0.25697448475517837,5.405511641973151,10.811023283946302,95.0,20,19.0,95.0,1.0,5.0,,
151,256,20.520999999999994,0.25596984043323334,5.3118545175624545,10.623709035124909,100.0,20,20.0,100.0,,,,
152,212,20.356100000000005,0.29110728931013585,5.545880036470178,11.091760072940357,100.0,20,20.0,100.0,,,,
153,124,20.144800000000004,0.2961350852159539,6.404147984831792,12.808295969663584,85.0,20,17.0,85.0,3.0,15.0,,
154,19,20.05400000000002,0.29071540226016584,6.455914621937619,12.911829243875237,85.0,20,17.0,85.0,,,3.0,15.0
155,12,19.910900000000005,0.28564521076756094,5.868034211469574,11.736068422939148,95.0,20,19.0,95.0,1.0,5.0,,
156,140,19.857899999999983,0.2804218457278619,5.434224115717643,10.868448231435286,100.0,20,20.0,100.0,,,,
157,144,19.783199999999997,0.276183906260408,5.495522502300335,10.99104500460067,100.0,20,20.0,100.0,,,,
158,200,19.7519,0.2607794144655819,5.340851637762162,10.681703275524324,95.0,20,19.0,95.0,1.0,5.0,,
159,113,19.71089999999999,0.26159928310641095,5.697754014944878,11.395508029889756,90.0,20,18.0,90.0,2.0,10.0,,
160,224,19.566299999999977,0.2725133827557627,5.4748361599356254,10.949672319871251,95.0,20,19.0,95.0,1.0,5.0,,
161,210,19.52770000000001,0.27526931301160884,5.27451326740555,10.5490265348111,95.0,20,19.0,95.0,1.0,5.0,,
162,227,19.207900000000002,0.27410641084038356,5.37444562479517,10.74889124959034,100.0,20,20.0,100.0,,,,
163,290,19.185100000000023,0.3036163567673559,5.786788643726676,11.573577287453352,100.0,20,20.0,100.0,,,,
164,248,19.068100000000015,0.28867622804905047,5.529940871234051,11.059881742468102,95.0,20,19.0,95.0,1.0,5.0,,
165,141,19.02280000000002,0.29774752038110597,5.607817152322568,11.215634304645135,100.0,20,20.0,100.0,,,,
166,2,18.846199999999982,0.3239732380338329,6.3157850501079364,12.631570100215873,95.0,20,19.0,95.0,1.0,5.0,,
167,235,18.528699999999994,0.28265710435784847,5.566901299308737,11.133802598617473,95.0,20,19.0,95.0,1.0,5.0,,
168,55,18.511299999999995,0.3158926204020344,6.150745287664124,12.301490575328248,95.0,20,19.0,95.0,1.0,5.0,,
169,134,18.45350000000002,0.29327593842017136,5.403158098539661,10.806316197079322,100.0,20,20.0,100.0,,,,
170,50,18.353900000000017,0.315344153615312,6.144355944046209,12.288711888092418,95.0,20,19.0,95.0,1.0,5.0,,
171,4,18.15409999999997,0.32734221658184665,5.964313187531795,11.92862637506359,95.0,20,19.0,95.0,1.0,5.0,,
172,30,18.015800000000013,0.3180861286324796,5.9229714452527285,11.845942890505457,95.0,20,19.0,95.0,,,1.0,5.0
173,122,17.887400000000014,0.29259979184467133,5.739814019292195,11.47962803858439,90.0,20,18.0,90.0,2.0,10.0,,
174,86,17.716099999999997,0.2977250564932149,5.411645301761513,10.823290603523025,100.0,20,20.0,100.0,,,,
175,225,17.712299999999992,0.28586287793663806,5.397754014944878,10.795508029889756,100.0,20,20.0,100.0,,,,
176,16,17.446199999999983,0.3331312065050257,5.913680792656917,11.827361585313835,100.0,20,20.0,100.0,,,,
177,205,17.42380000000005,0.2977140047138892,5.547776616168179,11.095553232336359,90.0,20,18.0,90.0,1.0,5.0,1.0,5.0
178,232,17.37110000000002,0.3096180987663973,6.119142001369435,12.23828400273887,85.0,20,17.0,85.0,3.0,15.0,,
179,268,17.3152,0.3014915618333052,5.500960793625028,11.001921587250056,90.0,20,18.0,90.0,1.0,5.0,1.0,5.0
180,252,17.019900000000007,0.31145464753586966,5.14146402628182,10.28292805256364,100.0,20,20.0,100.0,,,,
181,136,16.98520000000001,0.3129630699586049,5.517072905590015,11.03414581118003,95.0,20,19.0,95.0,1.0,5.0,,
182,296,16.974199999999986,0.32160818856377976,5.658983101641883,11.317966203283765,95.0,20,19.0,95.0,1.0,5.0,,
183,43,16.9607,0.3243798246123999,5.594050639724192,11.188101279448384,100.0,20,20.0,100.0,,,,
184,73,16.9238,0.32770077698562666,5.731985462631739,11.463970925263478,100.0,20,20.0,100.0,,,,
185,45,16.910999999999994,0.36875888272939517,5.946591458837402,11.893182917674803,100.0,20,20.0,100.0,,,,
186,174,16.901100000000014,0.3109013392297154,5.348242541844836,10.696485083689671,100.0,20,20.0,100.0,,,,
187,121,16.67650000000001,0.3467430350263768,5.802968940910904,11.605937881821808,100.0,20,20.0,100.0,,,,
188,151,16.592200000000002,0.31470064303064377,5.496615967758248,10.993231935516496,90.0,20,18.0,90.0,2.0,10.0,,
189,154,16.53930000000002,0.30820733423195673,5.317135058388826,10.634270116777651,95.0,20,19.0,95.0,,,1.0,5.0
190,26,16.48399999999999,0.36511269215934883,5.712921555887514,11.425843111775029,100.0,20,20.0,100.0,,,,
191,150,16.434599999999982,0.31283807882193615,5.44944562479517,10.89889124959034,95.0,20,19.0,95.0,,,1.0,5.0
192,83,16.229500000000005,0.38767640216870924,6.336335244639439,12.672670489278879,100.0,20,20.0,100.0,,,,
193,49,16.147200000000012,0.3656284113439811,5.810858921799887,11.621717843599773,100.0,20,20.0,100.0,,,,
194,37,16.120800000000003,0.3481257278824909,5.685417485510585,11.37083497102117,95.0,20,19.0,95.0,,,1.0,5.0
195,187,15.976099999999997,0.3396237352911811,5.470959503388642,10.941919006777283,95.0,20,19.0,95.0,1.0,5.0,,
196,198,15.833700000000011,0.36382140389311235,5.65182349847758,11.30364699695516,100.0,20,20.0,100.0,,,,
197,13,15.778100000000006,0.39410365668736547,6.388582799681019,12.777165599362037,100.0,20,20.0,100.0,,,,
198,133,15.773299999999997,0.3476419128861418,5.389874372380335,10.77974874476067,100.0,20,20.0,100.0,,,,
199,274,15.770199999999999,0.3600383709400375,5.70121012236009,11.40242024472018,100.0,20,20.0,100.0,,,,
200,95,15.724400000000017,0.32897404253083795,5.211649339889708,10.423298679779416,100.0,20,20.0,100.0,,,,
201,0,15.692700000000002,0.41026390369437815,6.79614894975491,13.59229789950982,95.0,20,19.0,95.0,,,1.0,5.0
202,38,15.692199999999996,0.3761213340242858,5.932949352028734,11.865898704057468,100.0,20,20.0,100.0,,,,
203,22,15.633000000000001,0.38683039468706965,5.8613750058168055,11.722750011633611,100.0,20,20.0,100.0,,,,
204,158,15.475899999999992,0.34796394346291387,5.467825067275433,10.935650134550865,100.0,20,20.0,100.0,,,,
205,24,15.46899999999999,0.39739418756474687,6.205304006972723,12.410608013945446,100.0,20,20.0,100.0,,,,
206,110,15.464500000000012,0.3645911265371974,5.821184435883535,11.64236887176707,100.0,20,20.0,100.0,,,,
